0.947652776,0.982049852,0,,Dynamic,Static,Position
0.836195584,0.822196774,950,,,,
0.572084702,0.65394441,1900,,,,
0.466627,0.577550904,2850,,,,
2.11848658,2.23247689,3800,,,,
9.273078388,9.54985486,4750,,,,
28.45424785,29.29470974,5700,,,,
68.65563044,69.95072035,6650,,,,
109.4997584,110.7324536,7600,,,,
169.5729184,171.2735738,8550,,,,
216.9096944,217.9600052,9500,,,,
283.2872519,284.5312795,10450,,,,
327.9954514,328.9775012,11400,,,,
361.4878043,362.1721461,12350,,,,
401.8662385,402.757896,13300,,,,
434.0008401,433.8703179,14250,,,,
455.8063198,456.0420331,15200,,,,
468.6162709,468.6988239,16150,,,,
476.0687307,477.2990261,17100,,,,
483.4363711,483.6719511,18050,,,,
483.2929166,484.142711,19000,,,,
